path_in_release,source_path,edit_kind,reason,source_sha256,release_sha256
narrative/02_TerraState_中文论文叙事稿.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_narrative_dual_20260913T082412Z/02_TerraState_中文论文叙事稿.md,wording_correction_20260913,"wording correction: history 130 -> 10 five-daily steps; abstract reports IID2856 (0.9923-1.0234) and dev476 (1.0005-1.0275) separately; three-seed std range corrected; section 5.2 no longer says 'significant' and states that no paired test was run; figure 3/8/9 captions aligned with the shipped figures",610522d7804d3f027d4651cebb2bf89c807f631d2415a592c92e8d2ad29de2af,840b737eb0b6c8ffa0c8175150b295d5f418564ce3d454bd98be9a820f9fc743
narrative/reports/NARRATIVE_QA.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_narrative_dual_20260913T082412Z/reports/NARRATIVE_QA.md,wording_correction_20260913,"self-check updated: partition range is now checked per set, and the round's wording corrections are logged",c274b787cb2b0f7c5b6cb7aa772201ccf4fc75b319634ff2c055a0edad50883c,c274b787cb2b0f7c5b6cb7aa772201ccf4fc75b319634ff2c055a0edad50883c
narrative/tables/Table1_standard_prediction.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table1_standard_prediction.md,wording_correction_20260913,"history 130 -> 10 five-daily steps",eedd7821732aa02d5da7d379bae7bdb8538666e1e95e30fc07864f4fc0f4b03d,eedd7821732aa02d5da7d379bae7bdb8538666e1e95e30fc07864f4fc0f4b03d
narrative/tables/Table5_weather_response.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table5_weather_response.md,wording_correction_20260913,"history 130 -> 10 five-daily steps",f2f488a003ca45c0f8d8f13449c64e5a88bcda114f93432a23750c0a2f1e6430,f2f488a003ca45c0f8d8f13449c64e5a88bcda114f93432a23750c0a2f1e6430
narrative/tables/Table7_efficiency_state_reuse.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table7_efficiency_state_reuse.md,wording_correction_20260913,"history_encoding described as 10 five-daily steps, not 130 steps",7a384c7a19b01542a998bb842a3011b9c7c3a4f82e04b7e3164d666cc36c4483,7a384c7a19b01542a998bb842a3011b9c7c3a4f82e04b7e3164d666cc36c4483
tables/Table1_standard_prediction.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table1_standard_prediction.md,wording_correction_20260913,"history 130 -> 10 five-daily steps",eedd7821732aa02d5da7d379bae7bdb8538666e1e95e30fc07864f4fc0f4b03d,eedd7821732aa02d5da7d379bae7bdb8538666e1e95e30fc07864f4fc0f4b03d
tables/Table5_weather_response.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table5_weather_response.md,wording_correction_20260913,"history 130 -> 10 five-daily steps",f2f488a003ca45c0f8d8f13449c64e5a88bcda114f93432a23750c0a2f1e6430,f2f488a003ca45c0f8d8f13449c64e5a88bcda114f93432a23750c0a2f1e6430
tables/Table7_efficiency_state_reuse.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table7_efficiency_state_reuse.md,wording_correction_20260913,"history_encoding described as 10 five-daily steps, not 130 steps",7a384c7a19b01542a998bb842a3011b9c7c3a4f82e04b7e3164d666cc36c4483,7a384c7a19b01542a998bb842a3011b9c7c3a4f82e04b7e3164d666cc36c4483
figures/OVERVIEW.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/OVERVIEW.md,wording_correction_20260913,"figure 3 row order, figure 7 panel A description (single axes, 16 lines) and figure 9 panel A stage list aligned with the shipped figures",1fd6705c955d9e430f738bf4cd1e8c825c270d2ffe8ce41b5320953f940d3b8d,1fd6705c955d9e430f738bf4cd1e8c825c270d2ffe8ce41b5320953f940d3b8d
figures/reports/FIGURE_CAPTIONS_ZH.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/reports/FIGURE_CAPTIONS_ZH.md,wording_correction_20260913,"same caption corrections for figures 3, 7, 8 and 9",4dd0b0b5147135d1340c9ae9a016261dd81f8c427978d325cbadb21432a4ed51,4dd0b0b5147135d1340c9ae9a016261dd81f8c427978d325cbadb21432a4ed51
figures/reports/FIGURE_READING_AND_INTERPRETATION_ZH.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/reports/FIGURE_READING_AND_INTERPRETATION_ZH.md,wording_correction_20260913,"figure 8 reading now labels the paired-sample interval and gives the geo-cluster interval separately",efe575612a421e25845b2fc7b89fd9b97ba4bb349ac97ce730fd3db25158d77a,efe575612a421e25845b2fc7b89fd9b97ba4bb349ac97ce730fd3db25158d77a
figures/reports/FINAL_SCIENTIFIC_AND_VISUAL_QA.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/reports/FINAL_SCIENTIFIC_AND_VISUAL_QA.md,wording_correction_20260913,"figure 7 record refreshed after the 18:45 re-render: single-axes A, PNG 2192x1810 / 476051 B",8a33f02c64a87b4c32639ac8e2cf7632c6f7ce1f75d0f8b12155402abb1fb515,8a33f02c64a87b4c32639ac8e2cf7632c6f7ce1f75d0f8b12155402abb1fb515
figures/图3_标准空间预测/CAPTION_ZH.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/图3_标准空间预测/CAPTION_ZH.md,wording_correction_20260913,"caption row order now matches the rendered figure; B row range stated",2ae81a647ac93bce51a4832777e93d70f6fe1b5e535c1f21b8a97c2a64a789c7,2ae81a647ac93bce51a4832777e93d70f6fe1b5e535c1f21b8a97c2a64a789c7
figures/图3_标准空间预测/data/Table1_standard_prediction.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/图3_标准空间预测/data/Table1_standard_prediction.md,wording_correction_20260913,"history 130 -> 10 five-daily steps",eedd7821732aa02d5da7d379bae7bdb8538666e1e95e30fc07864f4fc0f4b03d,eedd7821732aa02d5da7d379bae7bdb8538666e1e95e30fc07864f4fc0f4b03d
figures/图5_时距与分布偏移/data/Table1_standard_prediction.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/图5_时距与分布偏移/data/Table1_standard_prediction.md,wording_correction_20260913,"history 130 -> 10 five-daily steps",eedd7821732aa02d5da7d379bae7bdb8538666e1e95e30fc07864f4fc0f4b03d,eedd7821732aa02d5da7d379bae7bdb8538666e1e95e30fc07864f4fc0f4b03d
figures/图8_天气条件响应/CAPTION_ZH.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/图8_天气条件响应/CAPTION_ZH.md,wording_correction_20260913,"caption now states that panel A annotates the paired-sample interval while Table 5 uses the geo-cluster interval",10c7120170ef6b4838f05dd5c132055aaa08ea8fcee924e1c3038bbd1757bf0d,10c7120170ef6b4838f05dd5c132055aaa08ea8fcee924e1c3038bbd1757bf0d
figures/图8_天气条件响应/data/Table5_weather_response.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/图8_天气条件响应/data/Table5_weather_response.md,wording_correction_20260913,"history 130 -> 10 five-daily steps",f2f488a003ca45c0f8d8f13449c64e5a88bcda114f93432a23750c0a2f1e6430,f2f488a003ca45c0f8d8f13449c64e5a88bcda114f93432a23750c0a2f1e6430
figures/图9_状态复用成本/CAPTION_ZH.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/图9_状态复用成本/CAPTION_ZH.md,wording_correction_20260913,"caption now lists the six stages actually drawn in panel A",ad77810098eaf0fb3a78829e2314b4a114a8a70db1f8b6a7ba5f244737611702,ad77810098eaf0fb3a78829e2314b4a114a8a70db1f8b6a7ba5f244737611702
figures/图9_状态复用成本/data/Table7_efficiency_state_reuse.md,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_figures_final_20260913T052645Z/图9_状态复用成本/data/Table7_efficiency_state_reuse.md,wording_correction_20260913,"history_encoding described as 10 five-daily steps, not 130 steps",7a384c7a19b01542a998bb842a3011b9c7c3a4f82e04b7e3164d666cc36c4483,7a384c7a19b01542a998bb842a3011b9c7c3a4f82e04b7e3164d666cc36c4483
