method,split,seed,row_kind,R2,rmse,nse,biasabs,rmse25,source,source_path,checkpoint_sha256,n,protocol
SimVP 6M,iid_chopped,42,seed,0.504,0.1463,-0.0127,0.0883,0.098,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
SimVP 6M,iid_chopped,97,seed,0.4921,0.1477,-0.0444,0.0875,0.1034,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Contextformer 6M,iid_chopped,27,seed,0.5332,0.1485,-0.0357,0.0941,0.0897,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Contextformer 6M,iid_chopped,42,seed,0.534,0.1493,-0.0531,0.095,0.0894,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Contextformer 6M,iid_chopped,97,seed,0.5328,0.1475,-0.0274,0.0933,0.0888,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Persistence,iid_chopped,deterministic,seed,0.0,0.2213,-1.1716,0.161,0.1028,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,1,GreenEarthNet chopped official LC-balanced scorer
TerraState-C1,ood-t_chopped,27,seed,0.5724713766457357,0.1509884534128652,-0.10727102895680307,0.1013981429374887,0.08239743512694744,this_eval:per_seed_metrics.csv + state_contract_exclusive.json,/data/zs/multiseed_standard_eval_20260910T074115Z/eval/seed27/ood-t_chopped,bdb6486a6d4b0b708683909b8a1b3b4814167964f4e8770e5f3e4106b7ebdfba,3,GreenEarthNet chopped official LC-balanced q1_full
TerraState-C1,ood-t_chopped,42,seed,0.5726001392528095,0.15094013605111273,-0.10646476368384628,0.10134315310449232,0.08239425006632078,this_eval:per_seed_metrics.csv + state_contract_exclusive.json,/data/zs/multiseed_standard_eval_20260910T074115Z/eval/seed42/ood-t_chopped,474f94340763e9ba5b7373316ff4d09b69fa398d3fac2df291b9bf9846a93819,3,GreenEarthNet chopped official LC-balanced q1_full
TerraState-C1,ood-t_chopped,97,seed,0.5726862384537774,0.15094181644977375,-0.10660500922590677,0.10134187530207171,0.08236085952514326,this_eval:per_seed_metrics.csv + state_contract_exclusive.json,/data/zs/multiseed_standard_eval_20260910T074115Z/eval/seed97/ood-t_chopped,8e193b1e104a9a5aed56fcc62275775c57a7c8ddf11c585716797e3099d684f9,3,GreenEarthNet chopped official LC-balanced q1_full
ConvLSTM 1M,ood-t_chopped,27,seed,0.5466,0.1603,-0.175,0.1093,0.1004,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
ConvLSTM 1M,ood-t_chopped,42,seed,0.556,0.1636,-0.1989,0.1122,0.1053,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
ConvLSTM 1M,ood-t_chopped,97,seed,0.5424,0.1606,-0.1957,0.1077,0.1008,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
PredRNN 1M,ood-t_chopped,27,seed,0.5942,0.1498,-0.0675,0.1026,0.1015,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
PredRNN 1M,ood-t_chopped,42,seed,0.5915,0.1466,-0.0165,0.096,0.1001,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
PredRNN 1M,ood-t_chopped,97,seed,0.5916,0.1458,-0.0286,0.0935,0.1039,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
SimVP 6M,ood-t_chopped,27,seed,0.5555,0.151,-0.0819,0.1,0.1055,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
SimVP 6M,ood-t_chopped,42,seed,0.565,0.1472,-0.0489,0.0964,0.1025,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
SimVP 6M,ood-t_chopped,97,seed,0.5644,0.1495,-0.0671,0.0966,0.105,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Contextformer 6M,ood-t_chopped,27,seed,0.5897,0.1438,-0.0086,0.0941,0.0849,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Contextformer 6M,ood-t_chopped,42,seed,0.5827,0.1433,0.0001,0.0937,0.0786,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Contextformer 6M,ood-t_chopped,97,seed,0.5907,0.1422,0.0238,0.0931,0.082,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Persistence,ood-t_chopped,deterministic,seed,0.0,0.2157,-1.2248,0.1583,0.085,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,1,GreenEarthNet chopped official LC-balanced scorer
TerraState-C1,ood-s_chopped,27,seed,0.49492612341624237,0.16214001907938913,-0.17640381152845297,0.10180636550813152,0.09697483362942882,this_eval:per_seed_metrics.csv + state_contract_exclusive.json,/data/zs/multiseed_standard_eval_20260910T074115Z/eval/seed27/ood-s_chopped_repaired_v1,bdb6486a6d4b0b708683909b8a1b3b4814167964f4e8770e5f3e4106b7ebdfba,3,GreenEarthNet chopped official LC-balanced q1_full
TerraState-C1,ood-s_chopped,42,seed,0.4948748294575225,0.1621300897341826,-0.17618662082965564,0.10179160019932892,0.09700582038917399,this_eval:per_seed_metrics.csv + state_contract_exclusive.json,/data/zs/multiseed_standard_eval_20260910T074115Z/eval/seed42/ood-s_chopped_repaired_v2,474f94340763e9ba5b7373316ff4d09b69fa398d3fac2df291b9bf9846a93819,3,GreenEarthNet chopped official LC-balanced q1_full
TerraState-C1,ood-s_chopped,97,seed,0.4949231327955741,0.1621492703699577,-0.17640439743124592,0.10181891775736675,0.09698995763782892,this_eval:per_seed_metrics.csv + state_contract_exclusive.json,/data/zs/multiseed_standard_eval_20260910T074115Z/eval/seed97/ood-s_chopped_repaired_v1,8e193b1e104a9a5aed56fcc62275775c57a7c8ddf11c585716797e3099d684f9,3,GreenEarthNet chopped official LC-balanced q1_full
ConvLSTM 1M,ood-s_chopped,27,seed,0.4787,0.1611,-0.1413,0.0988,0.1024,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
ConvLSTM 1M,ood-s_chopped,42,seed,0.4777,0.1632,-0.163,0.1009,0.1058,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
ConvLSTM 1M,ood-s_chopped,97,seed,0.4718,0.1622,-0.1576,0.0997,0.1033,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
PredRNN 1M,ood-s_chopped,27,seed,0.5187,0.1445,0.0464,0.0841,0.0912,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
PredRNN 1M,ood-s_chopped,42,seed,0.5071,0.1526,-0.0484,0.0927,0.0974,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
PredRNN 1M,ood-s_chopped,97,seed,0.5004,0.151,-0.0288,0.0895,0.092,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
SimVP 6M,ood-s_chopped,27,seed,0.4631,0.1517,-0.0549,0.0864,0.1077,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
SimVP 6M,ood-s_chopped,42,seed,0.472,0.1529,-0.0654,0.0896,0.1031,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
SimVP 6M,ood-s_chopped,97,seed,0.4597,0.1542,-0.0907,0.0886,0.11,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Contextformer 6M,ood-s_chopped,27,seed,0.5039,0.1548,-0.077,0.0958,0.0949,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Contextformer 6M,ood-s_chopped,42,seed,0.5024,0.1566,-0.1021,0.0978,0.0954,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Contextformer 6M,ood-s_chopped,97,seed,0.5,0.1534,-0.058,0.0945,0.0941,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Persistence,ood-s_chopped,deterministic,seed,0.0,0.2258,-1.1336,0.1625,0.1127,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,1,GreenEarthNet chopped official LC-balanced scorer
TerraState-C1,ood-st_chopped,27,seed,0.5405425654231637,0.15420596404092424,-0.15556477436091942,0.1016642368854404,0.08710573779437572,this_eval:per_seed_metrics.csv + state_contract_exclusive.json,/data/zs/multiseed_standard_eval_20260910T074115Z/eval/seed27/ood-st_chopped,bdb6486a6d4b0b708683909b8a1b3b4814167964f4e8770e5f3e4106b7ebdfba,3,GreenEarthNet chopped official LC-balanced q1_full
TerraState-C1,ood-st_chopped,42,seed,0.5407599354787971,0.15416147779338685,-0.15474277447709417,0.10162984785614576,0.08710520422014455,this_eval:per_seed_metrics.csv + state_contract_exclusive.json,/data/zs/multiseed_standard_eval_20260910T074115Z/eval/seed42/ood-st_chopped,474f94340763e9ba5b7373316ff4d09b69fa398d3fac2df291b9bf9846a93819,3,GreenEarthNet chopped official LC-balanced q1_full
TerraState-C1,ood-st_chopped,97,seed,0.5409176499490402,0.1541637403938653,-0.15493678821654244,0.10163458853871611,0.08706426270250812,this_eval:per_seed_metrics.csv + state_contract_exclusive.json,/data/zs/multiseed_standard_eval_20260910T074115Z/eval/seed97/ood-st_chopped,8e193b1e104a9a5aed56fcc62275775c57a7c8ddf11c585716797e3099d684f9,3,GreenEarthNet chopped official LC-balanced q1_full
ConvLSTM 1M,ood-st_chopped,27,seed,0.5203,0.1605,-0.2135,0.1054,0.1024,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
ConvLSTM 1M,ood-st_chopped,42,seed,0.5267,0.1621,-0.2295,0.1079,0.1063,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
ConvLSTM 1M,ood-st_chopped,97,seed,0.5231,0.1605,-0.2353,0.1045,0.1054,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
PredRNN 1M,ood-st_chopped,27,seed,0.5647,0.1485,-0.0806,0.0971,0.1034,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
PredRNN 1M,ood-st_chopped,42,seed,0.5616,0.1487,-0.072,0.0951,0.1028,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
PredRNN 1M,ood-st_chopped,97,seed,0.5642,0.1463,-0.0599,0.0906,0.1074,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
SimVP 6M,ood-st_chopped,27,seed,0.5272,0.1547,-0.1476,0.0999,0.1075,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
SimVP 6M,ood-st_chopped,42,seed,0.5255,0.1536,-0.1396,0.0989,0.1067,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
SimVP 6M,ood-st_chopped,97,seed,0.5297,0.1575,-0.1785,0.1008,0.1103,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Contextformer 6M,ood-st_chopped,27,seed,0.5575,0.1467,-0.0524,0.0946,0.0882,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Contextformer 6M,ood-st_chopped,42,seed,0.5574,0.1485,-0.0752,0.0973,0.0835,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Contextformer 6M,ood-st_chopped,97,seed,0.5552,0.1467,-0.0459,0.0956,0.0862,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,3,GreenEarthNet chopped official LC-balanced scorer
Persistence,ood-st_chopped,deterministic,seed,0.0,0.2183,-1.2401,0.1607,0.0966,A08_same_protocol_measured,/data/zs/WorldModel2026/terrastate/思路整理进展/A08_E1主表_同协议重跑结果.md,,1,GreenEarthNet chopped official LC-balanced scorer
